DATE;TMED;VOL1
01.01.2009;-7;255
02.01.2009;-10.75;274.2
03.01.2009;-11.4;270
04.01.2009;-8.7;265.6
05.01.2009;-13.4;266
06.01.2009;-17.1;298.4
07.01.2009;-16.95;290
08.01.2009;-12.25;271.9
09.01.2009;-10.9;270
10.01.2009;-4.6;264.6
11.01.2009;-10.7;265
12.01.2009;-3.7;236
13.01.2009;-4;242.3
14.01.2009;-3.55;228.5
15.01.2009;0.5;221
16.01.2009;0;212
17.01.2009;0.05;210
18.01.2009;-2.1;229.5
19.01.2009;-7;236.5
20.01.2009;-6.25;230.1
21.01.2009;-5.25;233.6
22.01.2009;-1.6;219.5
23.01.2009;-1.4;215
24.01.2009;-1.15;215
25.01.2009;-1.3;132.1
26.01.2009;-0.05;155.2
27.01.2009;0.15;163
28.01.2009;0.55;152.6
29.01.2009;0.1;152
30.01.2009;-1;158.9
31.01.2009;-2.9;140
01.02.2009;-9.2;118
02.02.2009;-15.3;147.9
03.02.2009;-9.9;132.4
04.02.2009;-4.75;119
05.02.2009;-1.05;102
06.02.2009;0.4;100.9
07.02.2009;1.3;98
08.02.2009;1.55;91.2
09.02.2009;2.1;97.1
10.02.2009;2.2;96.9
11.02.2009;0.5;96.5
12.02.2009;0.8;96.3
13.02.2009;0.05;98.1
14.02.2009;1.65;95
15.02.2009;0.35;93.1
16.02.2009;0.35;96.4
17.02.2009;-1.6;109.8
18.02.2009;-5.45;111.2
19.02.2009;-2.15;110
20.02.2009;-3.9;111.6
21.02.2009;-5.1;109
22.02.2009;-10.65;109
23.02.2009;-10.6;180.5
24.02.2009;-6.3;126.3
25.02.2009;-7.6;125
26.02.2009;-7.5;125.3
27.02.2009;-4.8;115
28.02.2009;-2.15;114
01.03.2009;-2.5;103.5
02.03.2009;-4;107.4
03.03.2009;-0.75;106.4
04.03.2009;-2.15;105
05.03.2009;-1.95;106.8
06.03.2009;-5.4;113.4
07.03.2009;-1.95;109
08.03.2009;0.3;96
09.03.2009;1.75;93.8
10.03.2009;1.5;93.3
11.03.2009;2;92.3
12.03.2009;3.05;90
13.03.2009;3.65;86.6
14.03.2009;1.5;86
15.03.2009;0;110.7
16.03.2009;-2.85;101
17.03.2009;-2.4;95.8
18.03.2009;0.9;96.7
19.03.2009;-0.15;98.2
20.03.2009;3.35;90
21.03.2009;1.2;89
22.03.2009;-0.15;101.7
23.03.2009;-3.55;97.6
24.03.2009;0.55;95
25.03.2009;2.25;92.7
26.03.2009;-0.15;93.8
27.03.2009;1.2;90
28.03.2009;2.4;90
29.03.2009;5.5;79.1
30.03.2009;6.3;76
31.03.2009;6.2;75.4
01.04.2009;6;69
02.04.2009;4.65;76.4
03.04.2009;3.8;71.2
04.04.2009;8.2;68
05.04.2009;5.4;68
06.04.2009;12.6;56.3
07.04.2009;9.8;51.2
08.04.2009;6.5;66.1
09.04.2009;5.05;66
10.04.2009;4.8;76.3
11.04.2009;2.5;70
12.04.2009;5.7;71.4
13.04.2009;7.65;58
14.04.2009;10.55;57
15.04.2009;10.75;55.9
16.04.2009;11.7;52.3
17.04.2009;6.4;48
18.04.2009;11.7;45
19.04.2009;6.15;48.4
20.04.2009;6.75;43.7
21.04.2009;5;51
22.04.2009;1.9;50
23.04.2009;5.1;44.6
24.04.2009;8.05;41.3
25.04.2009;8.9;42
26.04.2009;13.3;14.9
27.04.2009;16.45;15.9
28.04.2009;17.3;11.9
29.04.2009;18.3;10
30.04.2009;16.85;9
01.05.2009;13.25;21.3
02.05.2009;11.15;20
03.05.2009;13;11
04.05.2009;14.8;12.4
05.05.2009;14.2;16.5
06.05.2009;14.6;0
07.05.2009;12.6;17
08.05.2009;14.1;16
09.05.2009;14.9;5.6
10.05.2009;17.4;5
11.05.2009;16.55;6
12.05.2009;19.25;8.3
13.05.2009;11.25;25.4
14.05.2009;9.45;28.3
15.05.2009;7.15;34
16.05.2009;8.55;30
17.05.2009;7.65;31
18.05.2009;12.6;25.5
19.05.2009;12.2;52
20.05.2009;14.1;21.7
21.05.2009;16.8;13.4
22.05.2009;16.85;11.5
23.05.2009;15.95;10
24.05.2009;11.1;20.2
25.05.2009;12.1;20.6
26.05.2009;13.8;14.9
27.05.2009;16.4;12.8
28.05.2009;18.7;11.2
29.05.2009;18.7;10.3
30.05.2009;18.75;10
31.05.2009;19.15;8.4
01.06.2009;19.5;9
02.06.2009;20.15;10.6
03.06.2009;19.9;11.3
04.06.2009;15;12
05.06.2009;14.05;11
06.06.2009;12.55;8
07.06.2009;13.65;20
08.06.2009;19.25;13
09.06.2009;21.35;10.8
10.06.2009;24.1;10
11.06.2009;25.4;10
12.06.2009;23.25;7
13.06.2009;18.9;7
14.06.2009;14.85;11.2
15.06.2009;16.1;11.8
16.06.2009;18.15;11
17.06.2009;16.75;12.2
18.06.2009;12.8;12.5
19.06.2009;16.6;11.1
20.06.2009;22.5;10
21.06.2009;21.85;7.4
22.06.2009;23;9.8
23.06.2009;21.9;9
24.06.2009;24.25;12
25.06.2009;23.05;10.9
26.06.2009;24.3;9.3
27.06.2009;24.05;7
28.06.2009;22.25;10
29.06.2009;22;10.8
30.06.2009;21.9;11.1
01.07.2009;16.25;11.1
02.07.2009;18.5;11.4
03.07.2009;20.75;10.2
04.07.2009;17.5;7
05.07.2009;13.15;11.6
06.07.2009;14.55;13
07.07.2009;15;11.7
08.07.2009;16.55;12.5
09.07.2009;19.75;9.6
10.07.2009;20.3;10
11.07.2009;20.25;7
12.07.2009;21.8;10.1
13.07.2009;22.8;9.4
14.07.2009;21.45;12
15.07.2009;22.8;10.3
16.07.2009;25.85;11.1
17.07.2009;25.65;10.1
18.07.2009;25.25;7
19.07.2009;26.75;8.3
20.07.2009;23.8;8.9
21.07.2009;19.1;11.8
22.07.2009;17.75;13
23.07.2009;21;11.1
24.07.2009;23.3;11.4
25.07.2009;22.3;7
26.07.2009;20.8;12
27.07.2009;16.05;11.4
28.07.2009;17.55;13.4
29.07.2009;18.9;16.2
30.07.2009;21.6;18
31.07.2009;22.8;13.9
01.08.2009;22.4;10
02.08.2009;20;11.4
03.08.2009;19;12.1
04.08.2009;19.95;12.8
05.08.2009;18.3;12.8
06.08.2009;18.55;11.1
07.08.2009;16.3;11.6
08.08.2009;14.5;10
09.08.2009;14;12.8
10.08.2009;14.2;13.7
11.08.2009;16.05;13.4
12.08.2009;18.75;12.7
13.08.2009;17;13.3
14.08.2009;17.95;12.2
15.08.2009;17.35;11
16.08.2009;16.4;12.3
17.08.2009;20.05;12.2
18.08.2009;21.9;11.8
19.08.2009;18.55;11.4
20.08.2009;14.9;11.4
21.08.2009;13.05;11.5
22.08.2009;11.9;11
23.08.2009;18.65;18.2
24.08.2009;17;14.9
25.08.2009;15.15;12.8
26.08.2009;15.55;11.8
27.08.2009;18.55;12.9
28.08.2009;23;10.3
29.08.2009;18.5;8
30.08.2009;18.75;9.9
31.08.2009;17;52
01.09.2009;14.15;85
02.09.2009;20.05;105.7
03.09.2009;18.8;102
04.09.2009;18.7;107
05.09.2009;17.65;106
06.09.2009;17.8;120.8
07.09.2009;17.75;121.1
08.09.2009;20.9;118
09.09.2009;20.1;126.8
10.09.2009;21.25;125.3
11.09.2009;20.55;120.8
12.09.2009;18.35;120
13.09.2009;18.3;126.1
14.09.2009;18.1;126.8
15.09.2009;18.45;125.1
16.09.2009;18.55;126
17.09.2009;16.15;129.2
18.09.2009;13.95;131.9
19.09.2009;10.8;129
20.09.2009;11.1;135
21.09.2009;15;141.5
