time,deltap,dp,s_time,s_deltap,s_dp
0.000742509,28.142,0.282886852,0.00022982,0.30192,0.108667477
0.0017679,74.16,0.457183833,0.000229865,0.7621,0.108667477
0.00381868,114.11,0.782911759,0.000229865,1.1661,0.130141182
0.00535677,150.13,1.273092581,0.000229865,1.5263,0.25568252
0.00638216,179.28,1.191664657,0.000229865,1.8178,0.203681618
0.00843294,204.14,1.387810411,0.000229865,2.0664,0.235154569
0.00945833,225.7,1.529054004,0.000229865,2.282,0.386148879
0.0104837,242.58,1.182858328,0.000230315,2.4508,0.210448813
0.0125345,258,0.933153219,0.000230315,2.605,0.151307932
0.0140726,271.93,1.032466047,0.000230315,2.7443,0.138755994
0.015098,283.7,0.93489388,0.000230315,2.862,0.120571739
0.0171488,294.65,1.120979705,0.000230315,2.9715,0.166739458
0.0181741,304.64,0.965971853,0.000230315,3.0714,0.099376248
0.0191995,313.42,1.05934487,0.000230315,3.1592,0.157124565
0.0212503,321.66,0.893815299,0.000230315,3.2416,0.132396236
0.0227884,329.22,0.863832702,0.000230315,3.3172,0.089977118
0.0238138,336.04,0.982998105,0.000230315,3.3854,0.118236967
0.0258648,342.39,0.939847316,0.000230315,3.4489,0.094992997
0.02689,347.96,0.868390792,0.000230315,3.5046,0.103694668
0.0279154,353.53,0.816318794,0.000230315,3.5603,0.080148563
0.0299661,358.87,0.847563774,0.000230315,3.6137,0.087528136
0.0315042,363.32,0.79322488,0.000230315,3.6582,0.084587769
0.0325296,367.77,0.830654474,0.000230315,3.7027,0.076660785
0.0345804,372.09,0.820855959,0.000230315,3.7459,0.078144043
0.0356058,375.67,0.840230585,0.000230315,3.7817,0.08543189
0.0366312,379.26,0.767473792,0.000230315,3.8176,0.077819147
0.038682,382.78,0.756306538,0.000230315,3.8528,0.07925361
0.0397074,385.71,0.725998036,0.000230315,3.8821,0.078655202
0.0412454,388.64,0.625749902,0.000230315,3.9114,0.066988425
0.0432962,391.55,0.701159482,0.000230315,3.9405,0.072732427
0.0443216,393.86,0.628433943,0.000230315,3.9636,0.064140109
0.0463724,396.18,0.603718281,0.000230315,3.9868,0.064157879
0.0473978,398.49,0.590611763,0.000230315,4.0099,0.026898363
0.0484232,400.81,0.666977789,0.000230315,4.0331,0.029785192
0.050474,402.88,0.573773546,0.000230315,4.0538,0.029028199
0.052012,404.65,0.601334773,0.000230315,4.0715,0.031960997
0.0694437,420.94,0.403675032,0.000230315,4.2344,0.022641977
0.0868753,429.52,0.285011105,0.000230315,4.3202,0.025759656
0.10379,434.51,0.238324914,0.000234815,4.3701,0.02958891
0.12123,438.63,0.211943109,0.000234815,4.4113,0.032346959
0.13968,441.76,0.193641495,0.000234815,4.4426,0.03641176
0.15711,444.36,0.184696276,0.000234815,4.4686,0.041907737
0.17455,446.48,0.175813699,0.000234815,4.4898,0.032245372
0.19198,448.61,0.163445067,0.000234815,4.5111,0.02505663
0.20941,450.1,0.158148103,0.000234815,4.526,0.027255435
0.22684,451.36,0.150575331,0.000234815,4.5386,0.029434498
0.24427,452.63,0.136967133,0.000234815,4.5513,0.017698834
0.2617,453.89,0.140491554,0.000234815,4.5639,0.020923965
0.34938,457.5,0.120753317,0.000234815,4.6,0.01756165
0.43705,460.77,0.116157396,0.000234815,4.6327,0.022155925
0.5242,462.94,0.105408711,0.000234815,4.6544,0.026692063
0.61188,464.77,0.154068817,0.000234815,4.6727,0.031295595
0.69955,467.72,0.109850105,0.000234815,4.7022,0.035853343
0.7867,468.17,0.038548338,0.000234815,4.7067,0.040274198
0.87438,468.67,0.054962298,0.000234815,4.7117,0.031354604
0.96153,469.61,0.063646852,0.000234815,4.7211,0.024562674
1.0492,470.22,0.068457192,0.000279815,4.7272,0.026963034
1.1369,470.78,0.061889019,0.000279815,4.7328,0.029268229
1.224,471.27,0.061764758,0.000279815,4.7377,0.031649711
1.3117,471.74,0.072822355,0.000279815,4.7424,0.034104514
1.3994,472.18,0.099385023,0.000279815,4.7468,0.036477084
1.4865,472.88,0.123546092,0.000279815,4.7538,0.038973577
1.5742,473.88,0.177838805,0.000279815,4.7638,0.03407263
1.6614,474.81,0.194490549,0.000279815,4.7731,0.036029258
1.749,475.72,0.174023808,0.000279815,4.7822,0.030732288
1.8367,477.85,0.151902065,0.000279815,4.8035,0.032324697
1.9239,478.63,0.155347241,0.000279815,4.8113,0.033968561
2.0115,478.52,0.166855636,0.000279815,4.8102,0.035636707
2.0997,478.98,0.132333578,0.000279815,4.8148,0.037295456
2.1869,479.75,0.133415263,0.000279815,4.8225,0.03892884
2.2745,480.5,0.165426782,0.000279815,4.83,0.040642492
2.3617,481.23,0.180513679,0.000279815,4.8373,0.037023838
2.4494,481.91,0.182229306,0.000279815,4.8441,0.038456791
2.537,482.57,0.183470922,0.000279815,4.8507,0.039946926
