Index	Rank_of_mat	Area1	Area2	No_rooms	No_rooms_Jap	Price	Price_spread
1	1	38.09	36.43	5	1	6060	550
2	1	62.10	26.50	6	1	7100	50
3	1	63.76	44.71	7	1	8080	400
4	1	74:52	38.09	8	1	8260	150
5	1	75.38	41.40	7	2	8650	750
6	2	52.99	26.49	4	2	8520	450
7	2	62.93	26.49	5	2	9170	700
8	2	72.04	33.12	6	3	10310	200
9	2	76.12	43.06	7	2	10920	600
10	2	90.26	42.64	7	2	12030	100
11	3	85.70	31.33	6	3	13940	350
12	3	95.27	27.64	6	3	14200	250
13	3	105.98	27.64	6	3	16010	300
14	3	79.25	66.81	6	3	16320	500
15	3	120.50	32.25	6	3	16990	650
