No.	Height	Weight	Skinfold_sum	Rel_body_fat	VO2	Running_time
1	163	53.6	76.4	17.9	61.32	39.37	0
2	167	56.4	62.1	15.2	55.29	39.80	0
3	166	58.1	65.0	17.0	52.83	40.03	0
4	157	43.1	44.9	12.6	57.94	41.32	0
5	150	44.8	59.7	13.9	53.31	42.03	0
6	151	39.5	59.3	19.2	51.32	42.37	0
7	162	52.1	98.7	19.6	52.18	43.93	0
8	168	58.8	73.1	19.6	52.37	44.90	0
9	152	44.3	59.2	17.4	57.91	44.90	0
10	161	47.4	51.5	14.4	53.93	45.12	0
11	161	47.8	61.4	7.9	47.88	45.60	0
12	165	49.1	62.5	10.5	47.41	46.03	0
13	157	50.4	60.3	12.6	47.17	47.83	0
14	154	46.4	76.7	19.6	51.05	48.55	0
